Num	Name	FileName	BitDepth	Format	FrameRate	0	width	height	Frames	Level
1	BeachMountain	BeachMountain_3840x2160_30fps_420_10bit.yuv	10	420	30	0	3840	2160	300	5.1
2	BuildingHall2	BuildingHall2_3840x2160_50fps_10bit_420.yuv	10	420	50	0	3840	2160	500	5.1
3	Cosmos1	Cosmos1_1920x856_BT2100_PQ_24fps_420.yuv	10	420	24	0	1920	856	240	4.1
4	DroneTakeOff	DroneTakeOff_3840x2160_30fps_420_10bit.yuv	10	420	30	0	3840	2160	300	5.1
5	FlyingBirds2	FlyingBirds2_3840x2160p_60_10b_HLG_420.yuv	10	420	60	0	3840	2160	300	5.1
6	Hurdles	Hurdles_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv	10	420	50	0	1920	1080	500	4.1
7	Market3	Market3_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv	10	420	50	0	1920	1080	400	4.1
8	MountainBay	MountainBay_3840x2160_30fps_420_10bit.yuv	10	420	30	0	3840	2160	300	5.1
9	RollerCoaster2	RollerCoaster2_3840x2160_60fps_10bit_420.yuv	10	420	60	0	3840	2160	300	5.1
10	ShowGirl2Teaser	ShowGirl2TeaserClip4000_1920x1080p_24_12_P3_ct2020_rev1.yuv	10	420	24	0	1920	1080	339	4.1
11	Starting	Starting_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv	10	420	50	0	1920	1080	500	4.1
12	SunsetBeach	SunsetBeach_3840x2160p_60_10b_HLG_420.yuv	10	420	60	0	3840	2160	600	5.1
13	Timelapse	Timelapse_1920x1080_60fps_10bit_420.yuv	10	420	60	0	1920	1080	600	4.1
14	ToddlerFountain2	ToddlerFountain2_3840x2160_60fps_10bit_420.yuv	10	420	60	0	3840	2160	300	5.1
15	Netflix_Aerial	Netflix_Aerial_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	1199	5.1
16	Netflix_RollerCoaster	Netflix_RollerCoaster_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	1199	5.1
17	Netflix_WindAndNature	Netflix_WindAndNature_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	1199	5.1
18	Netflix_SquareAndTimelapse	Netflix_SquareAndTimelapse_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	600	5.1
19	Netflix_TunnelFlag	Netflix_TunnelFlag_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	600	5.1
20	Netflix_Boat	Netflix_Boat_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	300	5.1
21	Netflix_Crosswalk	Netflix_Crosswalk_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	300	5.1
22	Netflix_FoodMarket2	Netflix_FoodMarket2_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	300	5.1
23	Netflix_Narrator	Netflix_Narrator_4096x2160_60fps_10bit_420.yuv	10	420	60	0	4096	2160	300	5.1
24	ducks_take_off	ducks_take_off_1080p50.yuv	8	420	50	0	1920	1080	500	4.1
25	park_joy	park_joy_1080p50.yuv	8	420	50	0	1920	1080	500	4.1
